Year,Lg,Pos,Player,Tm,Player-additional
2025,NFL,RB,Christian McCaffrey,San Francisco 49ers,McCaCh01
2024,NFL,QB,Joe Burrow,Cincinnati Bengals,BurrJo01
2023,NFL,QB,Joe Flacco,Cleveland Browns,FlacJo00
2022,NFL,QB,Geno Smith,Seattle Seahawks,SmitGe00
2021,NFL,QB,Joe Burrow,Cincinnati Bengals,BurrJo01
2020,NFL,QB,Alex Smith,Washington Football Team,SmitAl03
2019,NFL,QB,Ryan Tannehill,Tennessee Titans,TannRy00
2018,NFL,QB,Andrew Luck,Indianapolis Colts,LuckAn00
2017,NFL,WR,Keenan Allen,Los Angeles Chargers,AlleKe00
2016,NFL,WR,Jordy Nelson,Green Bay Packers,NelsJo00
2015,NFL,SS,Eric Berry,Kansas City Chiefs,BerrEr99
2014,NFL,TE,Rob Gronkowski,New England Patriots,GronRo00
2013,NFL,QB,Philip Rivers,San Diego Chargers,RivePh00
2012,NFL,QB,Peyton Manning,Denver Broncos,MannPe00
2011,NFL,QB,Matthew Stafford,Detroit Lions,StafMa00
2010,NFL,QB,Michael Vick,Philadelphia Eagles,VickMi00
2009,NFL,QB,Tom Brady,New England Patriots,BradTo00
2008,NFL,QB,Chad Pennington,Miami Dolphins,PennCh01
2007,NFL,LDE,Greg Ellis,Dallas Cowboys,ElliGr20
2006,NFL,QB,Chad Pennington,New York Jets,PennCh01
2005,NFL,WR,Steve Smith Sr.,Carolina Panthers,SmitSt01
2005,NFL,RILB,Tedy Bruschi,New England Patriots,BrusTe99
2004,NFL,QB,Drew Brees,San Diego Chargers,BreeDr00
2003,NFL,QB,Jon Kitna,Cincinnati Bengals,KitnJo00
2002,NFL,QB,Tommy Maddox,Pittsburgh Steelers,MaddTo00
2001,NFL,RB,Garrison Hearst,San Francisco 49ers,HearGa00
2000,NFL,RDE,Joe Johnson,New Orleans Saints,JohnJo04
1999,NFL,LDT,Bryant Young,San Francisco 49ers,YounBr00
1998,NFL,QB,Doug Flutie,Buffalo Bills,FlutDo00
1966,NFL,FB,Dick Bass,Los Angeles Rams,BassDi00
1965,NFL,QB,John Brodie,San Francisco 49ers,BrodJo00
1964,NFL,HB,Lenny Moore,Baltimore Colts,MoorLe00
1963,NFL,K,Jim Martin,Baltimore Colts,MartJi20
