Year,Voting,Player,School,Summary,Player-additional
2025,Voting,Fernando Mendoza*,Indiana,273 Cmp 379 Att 3535 Yds 41 TD 6 Int,fernando-mendoza-1
2024,Voting,Travis Hunter*,Colorado,25 Solo 11 Ast 0.0 Sk 4 Int,travis-hunter-2
2023,Voting,Jayden Daniels*,LSU,236 Cmp 327 Att 3812 Yds 40 TD 4 Int,jayden-daniels-1
2022,Voting,Caleb Williams*,USC,333 Cmp 500 Att 4537 Yds 42 TD 5 Int,caleb-williams-3
2021,Voting,Bryce Young*,Alabama,366 Cmp 547 Att 4872 Yds 47 TD 7 Int,bryce-young-1
2020,Voting,DeVonta Smith*,Alabama,117 Rec 1856 Yds 15.9 Avg 23 TD,devonta-smith-1
2019,Voting,Joe Burrow*,LSU,402 Cmp 527 Att 5671 Yds 60 TD 6 Int,joe-burrow-1
2018,Voting,Kyler Murray*,Oklahoma,260 Cmp 377 Att 4361 Yds 42 TD 7 Int,kyler-murray-1
2017,Voting,Baker Mayfield*,Oklahoma,285 Cmp 404 Att 4627 Yds 43 TD 6 Int,baker-mayfield-1
2016,Voting,Lamar Jackson*,Louisville,230 Cmp 409 Att 3543 Yds 30 TD 9 Int,lamar-jackson-1
2015,Voting,Derrick Henry*,Alabama,395 Att 2219 Yds 5.6 Avg 28 TD,derrick-henry-2
2014,Voting,Marcus Mariota*,Oregon,304 Cmp 445 Att 4454 Yds 42 TD 4 Int,marcus-mariota-1
2013,Voting,Jameis Winston*,Florida State,257 Cmp 384 Att 4057 Yds 40 TD 10 Int,jameis-winston-1
2012,Voting,Johnny Manziel*,Texas A&M,295 Cmp 434 Att 3706 Yds 26 TD 9 Int,johnny-manziel-1
2011,Voting,Robert Griffin III*,Baylor,291 Cmp 402 Att 4293 Yds 37 TD 6 Int,robert-griffin-iii-1
2010,Voting,Cam Newton*,Auburn,185 Cmp 280 Att 2854 Yds 30 TD 7 Int,cam-newton-1
2009,Voting,Mark Ingram*,Alabama,271 Att 1658 Yds 6.1 Avg 17 TD,mark-ingram-1
2008,Voting,Sam Bradford*,Oklahoma,328 Cmp 483 Att 4720 Yds 50 TD 8 Int,sam-bradford-1
2007,Voting,Tim Tebow*,Florida,234 Cmp 350 Att 3286 Yds 32 TD 6 Int,tim-tebow-1
2006,Voting,Troy Smith*,Ohio State,203 Cmp 311 Att 2542 Yds 30 TD 6 Int,troy-smith-1
2005,Voting,Reggie Bush*,USC,200 Att 1740 Yds 8.7 Avg 16 TD,reggie-bush-1
2004,Voting,Matt Leinart*,USC,269 Cmp 412 Att 3322 Yds 33 TD 6 Int,matt-leinart-1
2003,Voting,Jason White*,Oklahoma,278 Cmp 451 Att 3846 Yds 40 TD 10 Int,jason-white-1
2002,Voting,Carson Palmer*,USC,309 Cmp 489 Att 3942 Yds 33 TD 10 Int,carson-palmer-1
2001,Voting,Eric Crouch,Nebraska,105 Cmp 189 Att 1510 Yds 7 TD 10 Int,eric-crouch-1
